Gene stable ID	Transcript stable ID
ENSG00000096717	ENST00000212015
ENSG00000153147	ENST00000283131
ENSG00000276180	ENST00000615353
ENSG00000278828	ENST00000369163
ENSG00000273542	ENST00000611927
ENSG00000197238	ENST00000355057
ENSG00000275126	ENST00000618305
ENSG00000275379	ENST00000616365
ENSG00000197153	ENST00000359303
ENSG00000134046	ENST00000256429
ENSG00000134046	ENST00000583046
ENSG00000183598	ENST00000331491
ENSG00000270882	ENST00000578186
ENSG00000270882	ENST00000618193
ENSG00000270882	ENST00000614272
ENSG00000270882	ENST00000613412
ENSG00000203811	ENST00000369158
ENSG00000203852	ENST00000403683
ENSG00000270276	ENST00000621520
ENSG00000270276	ENST00000612061
ENSG00000270276	ENST00000579512
ENSG00000275714	ENST00000613854
ENSG00000278637	ENST00000617569
ENSG00000278705	ENST00000377745
ENSG00000274267	ENST00000621411
ENSG00000278272	ENST00000612966
ENSG00000197061	ENST00000377803
ENSG00000197409	ENST00000356476
ENSG00000277157	ENST00000614247
ENSG00000276966	ENST00000615164
ENSG00000274750	ENST00000634733
ENSG00000274750	ENST00000614911
ENSG00000274618	ENST00000244537
ENSG00000277775	ENST00000618052
ENSG00000273983	ENST00000614378
ENSG00000158406	ENST00000634956
ENSG00000158406	ENST00000634560
ENSG00000158406	ENST00000377727
ENSG00000158406	ENST00000635491
ENSG00000178409	ENST00000369042
ENSG00000178409	ENST00000429433
ENSG00000132275	ENST00000254605
ENSG00000132475	ENST00000254810
ENSG00000132475	ENST00000587560
ENSG00000132475	ENST00000589599
ENSG00000132475	ENST00000586607
ENSG00000197837	ENST00000358064
ENSG00000197837	ENST00000539745
ENSG00000076108	ENST00000551812
ENSG00000101945	ENST00000376687
ENSG00000101945	ENST00000337852
ENSG00000163041	ENST00000366816
ENSG00000163041	ENST00000366815
ENSG00000163041	ENST00000366813
ENSG00000068903	ENST00000249396
ENSG00000068903	ENST00000392081
ENSG00000283100	ENST00000634533
ENSG00000283100	ENST00000635478
ENSG00000105968	ENST00000222690
ENSG00000105968	ENST00000349299
ENSG00000105968	ENST00000308153
ENSG00000105968	ENST00000350771
ENSG00000105968	ENST00000381124
ENSG00000140320	ENST00000561234
ENSG00000140320	ENST00000416165
ENSG00000140320	ENST00000560846
ENSG00000118245	ENST00000236979
ENSG00000196787	ENST00000359193
ENSG00000274997	ENST00000377459
ENSG00000164032	ENST00000296417
ENSG00000196747	ENST00000358739
ENSG00000275221	ENST00000618958
ENSG00000276368	ENST00000333151
ENSG00000278677	ENST00000359611
ENSG00000276903	ENST00000613174
ENSG00000024048	ENST00000372903
ENSG00000024048	ENST00000372899
ENSG00000024048	ENST00000372901
ENSG00000167548	ENST00000301067
ENSG00000182095	ENST00000430969
ENSG00000274183	ENST00000620016
ENSG00000185787	ENST00000426013
ENSG00000185787	ENST00000331268
ENSG00000185787	ENST00000559345
ENSG00000185787	ENST00000558502
ENSG00000203812	ENST00000369159
ENSG00000272196	ENST00000607355
ENSG00000184260	ENST00000331380
ENSG00000184270	ENST00000331128
ENSG00000124523	ENST00000359782
ENSG00000124523	ENST00000379262
ENSG00000124523	ENST00000606117
ENSG00000124523	ENST00000397350
ENSG00000113648	ENST00000511689
ENSG00000113648	ENST00000304332
ENSG00000113648	ENST00000312469
ENSG00000113648	ENST00000510038
ENSG00000164508	ENST00000297012
ENSG00000187516	ENST00000341016
ENSG00000277858	ENST00000354514
ENSG00000277745	ENST00000615853
ENSG00000278463	ENST00000615868
ENSG00000180573	ENST00000314088
ENSG00000180573	ENST00000602637
ENSG00000180573	ENST00000377791
ENSG00000104885	ENST00000398665
ENSG00000196866	ENST00000341023
ENSG00000277075	ENST00000303910
ENSG00000099284	ENST00000373255
ENSG00000005302	ENST00000312196
ENSG00000005302	ENST00000337339
ENSG00000005302	ENST00000380693
ENSG00000005302	ENST00000361672
ENSG00000005302	ENST00000398527
ENSG00000246705	ENST00000544848
ENSG00000246705	ENST00000389078
ENSG00000108840	ENST00000225983
ENSG00000108840	ENST00000336057
ENSG00000108840	ENST00000586802
ENSG00000109111	ENST00000314616
ENSG00000109111	ENST00000347486
ENSG00000119969	ENST00000394036
ENSG00000169057	ENST00000453960
ENSG00000089163	ENST00000202967
ENSG00000188486	ENST00000530167
ENSG00000188486	ENST00000375167
ENSG00000123562	ENST00000360458
ENSG00000123562	ENST00000441076
ENSG00000123562	ENST00000422154
ENSG00000123562	ENST00000433176
ENSG00000123562	ENST00000451301
ENSG00000181218	ENST00000366695
ENSG00000196591	ENST00000519065
ENSG00000196591	ENST00000519108
ENSG00000196591	ENST00000368632
ENSG00000119048	ENST00000265339
ENSG00000117713	ENST00000324856
ENSG00000071655	ENST00000156825
ENSG00000071655	ENST00000434436
ENSG00000170948	ENST00000595891
ENSG00000170948	ENST00000305625
ENSG00000237247	ENST00000329753
ENSG00000205718	ENST00000381394
ENSG00000230522	ENST00000381393
ENSG00000182315	ENST00000333843
ENSG00000119772	ENST00000264709
